epoch,cost_sensitive_metric_dl,loss,val_cost_sensitive_metric_dl,val_loss
0,1099.747314453125,0.05060200393199921,76.59192657470703,0.04735171049833298
1,490.8958740234375,0.03263882175087929,80.62779998779297,0.03843823820352554
2,433.8744201660156,0.027513330802321434,81.92825317382812,0.03259940445423126
3,396.15618896484375,0.025401661172509193,80.22421264648438,0.03433949500322342
4,394.1117858886719,0.023942185565829277,85.20179748535156,0.024548251181840897
5,397.9402770996094,0.022806286811828613,88.38565063476562,0.024950463324785233
6,386.3323059082031,0.021830352023243904,87.53363037109375,0.024497073143720627
7,360.7580261230469,0.021240822970867157,97.30941772460938,0.020673593506217003
8,356.91424560546875,0.02088390849530697,77.75785064697266,0.02929631993174553
9,346.0107116699219,0.020150842145085335,86.59192657470703,0.02225249446928501
10,340.3292541503906,0.019910544157028198,82.5112075805664,0.021815640851855278
11,334.4410400390625,0.019501615315675735,80.17937469482422,0.024003028869628906
12,323.9433288574219,0.01903168298304081,89.28250885009766,0.02026052586734295
13,316.5314025878906,0.018467476591467857,84.12555694580078,0.022312618792057037
14,311.4241943359375,0.0186038538813591,79.50672912597656,0.024457857012748718
15,301.3323059082031,0.01800813339650631,91.12107849121094,0.018541572615504265
16,315.1761169433594,0.01811816729605198,75.78475189208984,0.02572924830019474
17,302.52679443359375,0.017628220841288567,70.94170379638672,0.023888513445854187
18,294.23431396484375,0.017387602478265762,86.41255950927734,0.019999362528324127
19,288.7059631347656,0.01686052978038788,96.23318481445312,0.018957896158099174
20,287.404296875,0.01689145341515541,94.304931640625,0.018620507791638374
21,283.86676025390625,0.016871759667992592,77.71300506591797,0.020844081416726112
22,283.00152587890625,0.016943806782364845,76.27803039550781,0.024933360517024994
23,275.2986145019531,0.01664809137582779,77.13004302978516,0.020889434963464737
24,281.4318542480469,0.016751602292060852,85.87444305419922,0.019516393542289734
25,281.5314025878906,0.016632849350571632,85.51569366455078,0.018664106726646423
26,271.5467224121094,0.016059627756476402,89.10314178466797,0.016359135508537292
27,265.8116455078125,0.016174331307411194,89.68609619140625,0.017149370163679123
28,274.6937255859375,0.0163666233420372,82.86995697021484,0.021514877676963806
29,252.76416015625,0.015593867748975754,88.47533416748047,0.016025299206376076
30,271.24041748046875,0.01618565246462822,81.47982025146484,0.01748456433415413
31,269.64013671875,0.015606804750859737,66.23318481445312,0.022099953144788742
32,250.14547729492188,0.015691867098212242,57.89237594604492,0.024126164615154266
33,257.3659973144531,0.01536069717258215,81.07623291015625,0.01529652252793312
